Month_Number,Month,Average_Temperature_C,Total_Rainfall_mm,Average_Humidity_Percent,Average_WindSpeed_kmph
1,January,16.213827571845066,783.24,70.62890462307372,12.69783423573511
2,February,16.903735171529338,704.16,69.4480602757294,12.709153574863738
3,March,19.022556695464363,942.85,68.48218142548596,12.678415226781857
4,April,21.192237572995303,736.31,66.60333285856716,12.277510326164363
5,May,24.30018605982539,1100.18,62.00128810648347,13.97773007013024
6,June,25.916884047584922,1047.28,61.01691271320052,14.423276479862405
7,July,26.10754391016412,1127.71,62.444572415778865,13.601482867837603
8,August,25.672290457551625,1162.91,63.859630179511406,13.230179511405048
9,September,23.640227758007118,1010.85,67.17181494661922,12.59790747330961
10,October,21.3885172647258,825.1,68.65578876100203,12.17517941773866
11,November,18.192008547008545,955.35,70.8462962962963,12.015413105413105
12,December,16.602199433274862,829.4,70.51787882876805,12.613075158548105
